player_id,Player Name,Team,Position,Games,Games Started,W,L,OTL,GAA,GA,SA,SV,SV%,SO
8476883,Andrei Vasilevskiy,TBL,G,52,52,35,14,3,2.5561,133,1605,1472,0.917,3
8476945,Connor Hellebuyck,WPG,G,58,56,31,21,5,2.5699,140,1796,1656,0.922,6
8476412,Jordan Binnington,STL,G,50,50,30,13,7,2.5647,126,1430,1304,0.912,3
8475883,Frederik Andersen,TOR,G,52,52,29,13,7,2.8537,143,1577,1434,0.909,3
8471679,Carey Price,MTL,G,58,58,27,25,6,2.7908,160,1755,1595,0.909,4
8470594,Marc-Andre Fleury,VGK,G,49,48,27,16,5,2.7707,133,1399,1266,0.905,5
8471695,Tuukka Rask,BOS,G,41,41,26,8,6,2.1234,85,1189,1104,0.929,5
8474651,Braden Holtby,VAN,G,48,47,25,14,6,3.1059,142,1385,1243,0.897,0
8479496,David Rittich,CGY,G,48,48,24,17,6,2.9657,138,1478,1340,0.907,2
8479394,Carter Hart,PHI,G,43,40,24,13,3,2.4195,95,1100,1005,0.914,1
8475683,Sergei Bobrovsky,FLA,G,50,49,23,19,6,3.2288,151,1505,1354,0.9,1
8474593,Jacob Markstrom,CGY,G,43,43,23,16,4,2.7509,117,1420,1303,0.918,2
8478406,Mackenzie Blackwood,NJD,G,47,43,22,14,8,2.772,124,1452,1328,0.915,3
8471750,Ben Bishop,DAL,G,44,43,21,16,4,2.4982,103,1286,1183,0.92,2
8475852,Petr Mrazek,CAR,G,40,38,21,16,2,2.6885,104,1091,987,0.905,3
8480925,Pavel Francouz,COL,G,34,31,21,7,4,2.4132,77,996,919,0.923,1
8477465,Tristan Jarry,PIT,G,33,31,20,12,1,2.4293,78,985,907,0.921,3
8476899,Matt Murray,OTT,G,38,38,20,11,5,2.8693,107,1055,948,0.899,1
8476434,John Gibson,ANA,G,51,51,20,26,5,2.9987,149,1552,1403,0.904,1
8471774,Alex Stalock,MIN,G,38,36,20,11,4,2.673,97,1082,985,0.91,4
8469608,Mike Smith,EDM,G,39,37,19,12,6,2.9487,106,1087,981,0.902,1
8476914,Joonas Korpisalo,CBJ,G,37,35,19,12,5,2.5965,92,1030,938,0.911,2
8475215,Robin Lehner,VGK,G,36,34,19,10,5,2.8899,99,1235,1136,0.92,1
8473575,Semyon Varlamov,NYI,G,45,39,19,14,6,2.6218,110,1278,1168,0.914,2
8475831,Philipp Grubauer,COL,G,36,36,18,12,4,2.6251,90,1067,977,0.916,2
8475156,Mikko Koskinen,EDM,G,38,34,18,13,3,2.7498,97,1175,1078,0.917,1
8470860,Jaroslav Halak,BOS,G,31,29,18,6,6,2.389,73,905,832,0.919,3
8471469,Pekka Rinne,NSH,G,36,35,18,14,4,3.1694,105,1004,899,0.895,3
8474889,Martin Jones,SJS,G,41,40,17,21,2,3.0002,118,1139,1021,0.896,2
8476999,Linus Ullmark,BUF,G,34,34,17,14,3,2.6941,91,1066,975,0.915,1
8480382,Alexandar Georgiev,NYR,G,34,32,17,14,2,3.0448,96,1063,967,0.91,2
8477424,Juuse Saros,NSH,G,40,34,17,12,4,2.7012,98,1142,1044,0.914,4
8478492,Ilya Samsonov,WSH,G,26,22,16,6,2,2.5513,60,689,629,0.913,1
8475311,Darcy Kuemper,ARI,G,29,29,16,11,2,2.2243,65,903,838,0.928,2
8471734,Jonathan Quick,LAK,G,42,42,16,22,4,2.7899,117,1224,1107,0.904,1
8471418,Anton Khudobin,DAL,G,30,26,16,8,4,2.2176,62,882,820,0.93,0
8470880,Brian Elliott,PHI,G,31,27,16,7,4,2.8676,80,796,716,0.899,2
8471306,Thomas Greiss,DET,G,31,29,16,9,4,2.7445,73,838,765,0.913,0
8477293,Antti Raanta,ARI,G,33,32,15,14,3,2.6332,80,1014,934,0.921,2
8473541,Jonathan Bernier,DET,G,46,41,15,22,3,2.9463,126,1353,1227,0.907,1
8473503,James Reimer,CAR,G,25,24,14,6,2,2.656,61,712,651,0.914,3
8478007,Elvis Merzlikins,CBJ,G,33,31,13,9,8,2.3469,71,919,848,0.923,5
8477967,Thatcher Demko,VAN,G,27,25,13,10,2,3.0607,78,822,744,0.905,0
8474596,Jake Allen,MTL,G,24,21,12,6,3,2.1508,48,655,607,0.927,2
8475622,Carter Hutton,BUF,G,31,30,12,14,4,3.1767,94,918,824,0.898,2
8477180,Aaron Dell,NJD,G,33,30,12,15,3,3.0094,92,986,894,0.907,0
8475660,Cam Talbot,MIN,G,26,22,12,10,1,2.6348,63,780,717,0.919,2
8471227,Devan Dubnyk,SJS,G,30,28,12,15,2,3.3521,93,849,756,0.89,1
8475789,Jack Campbell,TOR,G,26,26,11,12,3,2.7952,73,761,688,0.904,0
8467950,Craig Anderson,WSH,G,34,31,11,17,2,3.2517,100,1018,918,0.902,0
8478048,Igor Shesterkin,NYR,G,12,12,10,2,0,2.516,29,424,395,0.932,0
8468011,Ryan Miller,ANA,G,23,19,9,6,4,3.1012,64,685,621,0.907,0
8475195,Anders Nilsson,TBL,G,20,19,9,9,2,3.1831,58,628,570,0.908,0
8476876,Malcolm Subban,CHI,G,21,19,9,7,3,3.1739,60,546,486,0.89,0
8470147,Curtis McElhinney,TBL,G,18,18,8,7,3,2.8864,52,551,499,0.906,1
8476904,Chris Driedger,FLA,G,12,11,7,2,1,2.0539,22,354,332,0.938,1
8476316,Laurent Brossoit,WPG,G,19,15,6,7,1,3.2797,54,512,458,0.895,0
8477405,Marcus Hogberg,OTT,G,24,21,5,8,8,3.1237,70,728,658,0.904,0
8477361,Calvin Petersen,LAK,G,8,8,5,3,0,2.6395,21,269,248,0.922,0
8474636,Michael Hutchinson,TOR,G,16,12,5,9,1,3.471,49,439,390,0.888,1
8475839,Louis Domingue,CGY,G,17,15,3,9,2,3.814,51,433,382,0.882,0
8471239,Cory Schneider,NYI,G,13,11,3,6,2,3.5332,40,355,315,0.887,1
8478039,Kaapo Kahkonen,MIN,G,5,5,3,1,1,2.9586,15,172,157,0.913,0
8478499,Adin Hill,ARI,G,13,9,2,4,3,2.6219,28,343,315,0.918,0
8479292,Charlie Lindgren,MTL,G,6,6,2,4,0,3.3255,20,178,158,0.888,0
8476341,Anton Forsberg,WPG,G,3,3,1,1,0,3.3531,8,78,70,0.897,0
8477992,Jonas Johansson,BUF,G,6,5,1,3,1,2.9382,16,151,135,0.894,0
8480162,Matiss Kivlenieks,CBJ,G,6,4,1,1,2,2.9491,14,137,123,0.898,0
8479530,Adam Werner,COL,G,2,1,1,1,0,3.4156,5,58,53,0.914,0
8477480,Eric Comrie,NJD,G,3,2,0,2,0,4.2772,9,66,57,0.864,0
8475717,Calvin Pickard,DET,G,3,1,0,2,0,5.4584,15,74,59,0.797,0
8479288,Kasimir Kaskisuo,NSH,G,1,1,0,1,0,6,6,38,32,0.842,0
8476932,Anthony Stolarz,ANA,G,1,1,0,1,0,2.0385,2,36,34,0.944,0
