Player Name,Team,Position,Games,G,A,Points,+/-,PIM,SOG,GWG,PPG,PPA,PPP,BS,Hits,SHG,SHA
Leon Draisaitl,EDM,C,71,43,67,110,-7,18,218,10,16,28,44,19,27,0,0
Connor McDavid,EDM,C,64,34,63,97,-6,28,212,6,11,32,43,18,37,0,0
Artemi Panarin,NYR,LW,69,32,63,95,36,20,209,4,7,17,24,18,25,0,0
David Pastrnak,BOS,RW,70,48,47,95,21,40,279,10,20,18,38,22,47,0,0
Nathan MacKinnon,COL,C,69,35,58,93,13,12,318,4,12,19,31,31,51,0,0
Brad Marchand,BOS,LW,70,28,59,87,25,82,185,5,5,23,28,19,55,1,2
Patrick Kane,CHI,RW,70,33,51,84,8,40,275,2,8,15,23,19,24,0,0
Auston Matthews,TOR,C,70,47,33,80,19,8,290,5,12,13,25,60,40,0,0
Jonathan Huberdeau,FLA,LW,69,23,55,78,5,30,152,3,5,24,29,26,51,0,0
Jack Eichel,BUF,C,68,36,42,78,5,34,227,9,11,16,27,42,40,1,0
John Carlson,WSH,D,69,15,60,75,12,26,189,6,2,24,26,108,55,0,0
Mika Zibanejad,NYR,C,57,41,34,75,9,14,208,6,15,12,27,49,51,3,2
Evgeni Malkin,PIT,C,55,25,49,74,7,58,171,5,7,17,24,22,38,0,0
Kyle Connor,WPG,LW,71,38,35,73,4,34,239,7,9,8,17,17,18,1,1
Mark Scheifele,WPG,C,71,29,44,73,2,45,170,6,10,10,20,49,34,0,0
J.T. Miller,VAN,C,69,27,45,72,11,47,165,3,9,16,25,38,123,0,2
Mitchell Marner,TOR,RW,59,16,51,67,6,16,154,2,6,18,24,37,24,0,1
Alex Ovechkin,WSH,LW,68,48,19,67,-12,30,311,3,13,5,18,30,184,0,0
Sebastian Aho,CAR,C,68,38,28,66,10,26,206,5,8,9,17,20,55,4,1
Max Pacioretty,VGK,LW,71,32,34,66,18,44,307,5,8,11,19,35,90,0,0
Steven Stamkos,TBL,C,57,29,37,66,14,22,176,6,10,9,19,38,69,0,0
Elias Pettersson,VAN,C,68,27,39,66,16,18,162,5,8,16,24,42,63,0,0
Roman Josi,NSH,D,69,16,49,65,22,41,260,1,4,19,23,108,52,0,0
Blake Wheeler,WPG,RW,71,22,43,65,1,37,180,2,4,18,22,51,102,1,1
Brayden Point,TBL,C,66,25,39,64,28,11,141,4,8,5,13,30,24,0,0
Mark Stone,VGK,RW,65,21,42,63,15,27,168,3,6,11,17,51,56,0,1
Teuvo Teravainen,CAR,LW,68,15,48,63,20,8,182,1,4,17,21,30,18,1,3
Patrik Laine,CBJ,RW,68,28,35,63,8,22,226,1,8,8,16,35,97,0,0
Aleksander Barkov,FLA,C,66,20,42,62,2,18,172,2,7,13,20,35,21,0,1
Anze Kopitar,LAK,C,70,21,41,62,6,16,135,5,7,14,21,56,49,1,0
Travis Konecny,PHI,RW,66,24,37,61,-1,28,141,3,5,18,23,30,63,0,0
Ryan Nugent-Hopkins,EDM,C,65,22,39,61,1,33,172,4,7,17,24,44,33,0,0
Matthew Tkachuk,CGY,LW,69,23,38,61,-5,74,188,4,5,14,19,22,122,0,0
Andrei Svechnikov,CAR,RW,68,24,37,61,9,54,183,5,6,14,20,27,116,0,0
Tomas Tatar,MTL,LW,68,22,39,61,5,36,162,1,8,6,14,24,79,0,0
Ryan O'Reilly,STL,C,71,12,49,61,11,10,118,3,2,16,18,42,16,1,0
Mathew Barzal,NYI,C,68,19,41,60,5,44,171,2,4,8,12,43,22,0,0
Jonathan Toews,CHI,C,70,18,42,60,-2,48,172,3,1,7,8,35,56,1,0
John Tavares,TOR,C,63,26,34,60,-7,24,197,4,7,14,21,31,32,0,0
David Perron,STL,LW,71,25,35,60,2,52,166,9,9,18,27,19,67,0,0
Sean Couturier,PHI,C,69,22,37,59,21,30,185,4,4,9,13,26,60,0,0
Ryan Strome,NYR,C,70,18,41,59,21,48,154,3,3,14,17,32,45,0,1
Mike Hoffman,STL,C,69,29,30,59,-5,28,214,3,11,10,21,22,33,0,0
William Nylander,TOR,RW,68,31,28,59,-2,12,197,7,9,8,17,14,9,0,0
Nikolaj Ehlers,WPG,LW,71,25,33,58,14,30,203,5,3,2,5,28,36,1,0
Johnny Gaudreau,CGY,LW,70,18,40,58,-10,12,209,2,6,12,18,11,1,0,0
Brayden Schenn,STL,C,71,25,33,58,3,44,138,4,10,11,21,21,119,0,0
