player_id,Player Name,Team,Position,Games,G,A,Points,+/-,PIM,SOG,GWG,PPG,PPA,PPP,BS,Hits,SHG,SHA
8478402,Connor McDavid,EDM,C,78,41,75,116,3,20,240,9,9,24,33,30,39,1,1
8474141,Patrick Kane,CHI,RW,81,44,66,110,2,22,341,7,9,21,30,18,21,0,0
8477934,Leon Draisaitl,EDM,C,82,50,55,105,2,52,231,5,16,13,29,26,57,3,0
8473419,Brad Marchand,BOS,LW,79,36,64,100,15,96,231,9,10,24,34,19,46,3,4
8471675,Sidney Crosby,PIT,C,79,35,65,100,18,36,220,3,12,17,29,43,85,0,2
8477492,Nathan MacKinnon,COL,C,82,41,58,99,20,34,365,6,12,25,37,31,54,0,0
8476346,Johnny Gaudreau,CGY,LW,82,36,63,99,18,24,245,8,6,21,27,12,12,0,0
8474564,Steven Stamkos,TBL,C,82,45,53,98,4,37,234,6,19,21,40,40,72,2,0
8477493,Aleksander Barkov,FLA,C,82,35,61,96,-3,8,206,5,13,18,31,61,28,0,1
8478483,Mitchell Marner,TOR,RW,82,26,68,94,22,22,233,5,3,18,21,43,29,1,2
8478010,Brayden Point,TBL,C,79,41,51,92,27,28,191,7,20,15,35,43,31,0,0
8476456,Jonathan Huberdeau,FLA,LW,82,30,62,92,-14,40,226,5,11,23,34,45,57,0,0
8471218,Blake Wheeler,WPG,RW,82,20,71,91,0,60,231,3,2,31,33,53,81,2,1
8471214,Alex Ovechkin,WSH,LW,81,51,38,89,7,40,338,5,18,10,28,41,223,0,0
8475166,John Tavares,TOR,C,82,47,41,88,19,34,286,8,10,9,19,53,59,0,0
8478420,Mikko Rantanen,COL,RW,74,31,56,87,13,54,193,4,16,17,33,41,59,0,0
8478550,Artemi Panarin,NYR,LW,79,28,59,87,14,23,191,8,6,12,18,17,14,0,0
8473512,Claude Giroux,PHI,C,82,22,63,85,9,24,229,4,2,21,23,19,28,1,0
8476460,Mark Scheifele,WPG,C,82,38,46,84,8,38,199,6,12,11,23,54,54,0,3
